description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,121.986376953125,27.709329370082717,"[204.831298828125, 117.029296875, 112.00244140625, 111.792724609375, 113.91943359375, 115.06103515625, 114.760986328125, 109.64794921875, 111.1474609375, 109.671142578125]",109.64794921875,204.831298828125,ccb,ccb01
Quantidade de domicilios sem banheiro,46.518408203125,4.1254394256736635,"[58.41015625, 45.036865234375, 48.355712890625, 45.333740234375, 45.164306640625, 44.44921875, 43.852294921875, 44.39501953125, 45.018310546875, 45.16845703125]",43.852294921875,58.41015625,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,32.0774658203125,0.8008738100475594,"[31.578125, 31.687744140625, 31.677001953125, 32.38916015625, 32.122314453125, 31.55126953125, 33.89306640625, 33.1455078125, 31.254150390625, 31.476318359375]",31.254150390625,33.89306640625,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,9.8170166015625,0.5970652257161679,"[11.072509765625, 9.485595703125, 9.734130859375, 10.338134765625, 9.492431640625, 10.587646484375, 9.276123046875, 9.187744140625, 9.43115234375, 9.564697265625]",9.187744140625,11.072509765625,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,98.14033203125,3.069685268251776,"[94.667236328125, 93.114990234375, 99.02001953125, 96.111083984375, 100.29931640625, 97.202392578125, 96.341064453125, 99.241455078125, 102.25732421875, 103.1484375]",93.114990234375,103.1484375,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,1.0677734375,1.172588513658908,"[4.580322265625, 0.797119140625, 0.64794921875, 0.60888671875, 0.7197265625, 0.75439453125, 0.719970703125, 0.62744140625, 0.611328125, 0.610595703125]",0.60888671875,4.580322265625,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,25.4997314453125,1.5612807225868808,"[29.64404296875, 25.09765625, 25.771240234375, 26.60791015625, 25.211181640625, 24.947998046875, 24.3232421875, 24.158447265625, 25.17041015625, 24.065185546875]",24.065185546875,29.64404296875,ccb,ccb07
Qual a Idade média da população entrevistada?,24.541796875,0.6921976230819704,"[24.59228515625, 23.530517578125, 24.475830078125, 24.67822265625, 23.4921875, 25.20654296875, 24.316162109375, 25.44580078125, 25.599609375, 24.080810546875]",23.4921875,25.599609375,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,9.6797607421875,1.0653161820772994,"[12.61865234375, 9.22265625, 9.458984375, 8.89794921875, 9.775146484375, 8.9443359375, 10.23388671875, 9.1982421875, 8.8125, 9.63525390625]",8.8125,12.61865234375,ccb,ccb09
Qual a média de cômodos por domicilio,9.188037109375,0.286866643114892,"[9.4609375, 9.312255859375, 8.934814453125, 9.147705078125, 8.8955078125, 9.058349609375, 9.397216796875, 9.21484375, 9.73779296875, 8.720947265625]",8.720947265625,9.73779296875,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1286.9289306640626,14.919538693082355,"[1316.786376953125, 1299.311279296875, 1279.353515625, 1273.018798828125, 1271.41064453125, 1271.497314453125, 1276.11181640625, 1300.697998046875, 1282.854248046875, 1298.247314453125]",1271.41064453125,1316.786376953125,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,72.0806396484375,7.668722375922593,"[81.3583984375, 66.468017578125, 66.48681640625, 66.18896484375, 67.561279296875, 66.61572265625, 86.58203125, 73.464111328125, 81.412353515625, 64.668701171875]",64.668701171875,86.58203125,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,46.5120361328125,2.963524898365408,"[54.212158203125, 45.887451171875, 44.259521484375, 44.223388671875, 48.080322265625, 44.04052734375, 48.27490234375, 46.20654296875, 44.163818359375, 45.771728515625]",44.04052734375,54.212158203125,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,14.4265869140625,0.5736173119170057,"[14.48046875, 13.56640625, 13.752197265625, 14.18017578125, 14.69482421875, 14.50048828125, 15.1953125, 15.519775390625, 14.0224609375, 14.353759765625]",13.56640625,15.519775390625,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,29.4667236328125,0.9139420131599829,"[29.729736328125, 28.005126953125, 29.7685546875, 30.0078125, 29.23583984375, 29.44189453125, 31.651611328125, 28.76025390625, 29.207763671875, 28.858642578125]",28.005126953125,31.651611328125,ccb,ccb15
Quantos idosos existem em cada família no estado da Bahia?,87.478564453125,8.54598066250077,"[105.660888671875, 96.268798828125, 79.351806640625, 81.190185546875, 80.1171875, 82.5205078125, 97.14013671875, 87.00439453125, 83.013671875, 82.51806640625]",79.351806640625,105.660888671875,cci,cci16
Qtd de pessoas por Município e cor/raça,521.8934814453125,14.615056443773453,"[532.716064453125, 533.954833984375, 524.02294921875, 510.591064453125, 500.56884765625, 541.784423828125, 510.11181640625, 511.444091796875, 544.09228515625, 509.6484375]",500.56884765625,544.09228515625,cci,cci17
Qual é a média de pessoas por família em cada município?,56.9172119140625,4.1889295094461945,"[61.349365234375, 52.4755859375, 52.921142578125, 55.804931640625, 62.343505859375, 64.143310546875, 59.122802734375, 54.00927734375, 54.035888671875, 52.96630859375]",52.4755859375,64.143310546875,cci,cci18
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",422.8782470703125,13.027452761833102,"[426.336669921875, 411.64111328125, 415.80029296875, 426.804931640625, 423.117431640625, 414.98779296875, 426.381591796875, 434.037841796875, 399.47412109375, 450.20068359375]",399.47412109375,450.20068359375,cci,cci19
"Quantidade de pessoas por idade, sexo e função que recebem remunerção equivalente a salário mínimo ou inferior",230.0470947265625,6.506300219920079,"[230.69677734375, 226.764892578125, 222.65625, 236.691162109375, 243.90673828125, 222.75244140625, 225.94677734375, 229.65625, 235.711669921875, 225.68798828125]",222.65625,243.90673828125,cci,cci20
Em que municípios moram as 5 pessoas mais velhas entrevistadas?,203.991552734375,13.57651773042132,"[235.06689453125, 188.269287109375, 193.228515625, 200.785400390625, 200.79638671875, 201.345458984375, 201.50830078125, 196.03955078125, 199.053955078125, 223.82177734375]",188.269287109375,235.06689453125,cci,cci21
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",92.854541015625,3.5748896281670937,"[99.745849609375, 97.43115234375, 92.402587890625, 95.173095703125, 87.24951171875, 89.7431640625, 91.008544921875, 90.021240234375, 92.094970703125, 93.67529296875]",87.24951171875,99.745849609375,cci,cci22
Quantas mulheres concluíram o ensino fundamental?,50.4909912109375,2.6936801654632,"[50.21630859375, 56.527099609375, 48.632080078125, 47.57568359375, 49.92529296875, 50.56591796875, 50.22705078125, 48.223388671875, 54.379638671875, 48.637451171875]",47.57568359375,56.527099609375,cci,cci23
"Quantas famílias existem em cada município, agrupadas por água canalizada ?",895.275927734375,10.460823028713044,"[898.5341796875, 904.52099609375, 915.720458984375, 886.691650390625, 879.74560546875, 904.06787109375, 889.726806640625, 897.13720703125, 893.6298828125, 882.984619140625]",879.74560546875,915.720458984375,cci,cci24
Qual a media de pessoas por familia por municipio?,50.65009765625,3.278489146267144,"[54.569091796875, 48.18701171875, 47.1494140625, 51.593994140625, 48.415283203125, 53.865966796875, 49.717529296875, 48.757080078125, 47.183837890625, 57.061767578125]",47.1494140625,57.061767578125,cci,cci25
Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram?,143.4549072265625,4.256142672125209,"[139.9384765625, 148.849609375, 139.0234375, 138.073974609375, 142.091064453125, 152.52587890625, 144.1787109375, 145.343505859375, 142.328125, 142.1962890625]",138.073974609375,152.52587890625,cci,cci26
Quais são os cinco municípios com a maior população e quantas famílias vivem em cada um?,54.0591796875,5.189610411845031,"[50.672119140625, 50.3818359375, 50.039794921875, 57.186767578125, 49.691162109375, 57.843994140625, 56.821533203125, 49.108154296875, 52.5205078125, 66.325927734375]",49.108154296875,66.325927734375,cci,cci27
Quantas famílias com mais de 3 pessoas têm acesso a água canalizada em seus domicílios?,45.87060546875,7.547978534141345,"[48.7509765625, 43.27392578125, 42.86279296875, 43.69580078125, 43.33837890625, 42.63720703125, 41.73486328125, 44.21923828125, 40.515625, 67.67724609375]",40.515625,67.67724609375,cci,cci28
Quantas pessoas do sexo feminino moram em casas com água canalizada?,95.60126953125,6.307577643322929,"[109.450439453125, 88.03173828125, 92.847900390625, 92.6865234375, 88.912109375, 101.4921875, 94.965087890625, 91.056396484375, 95.3046875, 101.265625]",88.03173828125,109.450439453125,cci,cci29
"Qual a quantidade de pessoas do sexo masculino e feminino, respectivamente, em Salvador?",14.32109375,0.7489109699905172,"[14.34912109375, 13.980712890625, 14.7685546875, 14.466064453125, 15.5634765625, 13.905029296875, 13.919189453125, 13.01708984375, 13.751220703125, 15.490478515625]",13.01708984375,15.5634765625,cci,cci30
Quais são as três famílias com a maior renda média em cada município?,273.7485107421875,10.489916272266766,"[267.930419921875, 267.26904296875, 267.64306640625, 276.69189453125, 262.727783203125, 265.45458984375, 275.7998046875, 286.880126953125, 269.05615234375, 298.0322265625]",262.727783203125,298.0322265625,cca,cca31
Liste os nomes dos 10 municípios pela maior remuneração de trabalho para pessoas entre 25 e 35 anos.,206.3789306640625,11.37340580880411,"[207.7138671875, 204.29296875, 215.1162109375, 197.295166015625, 204.038818359375, 220.326171875, 224.86767578125, 210.30712890625, 193.7373046875, 186.093994140625]",186.093994140625,224.86767578125,cca,cca32
Pergunta 1: Quais são os municípios na Região Nordeste com a menor média de idade entre as pessoas?,113.13662109375,8.96420903118523,"[113.010498046875, 108.5576171875, 105.873779296875, 114.92333984375, 105.220703125, 132.8994140625, 109.572509765625, 110.161376953125, 126.527587890625, 104.619384765625]",104.619384765625,132.8994140625,cca,cca33
"Qual a proporção de pessoas que utilizam abastecimento de água por poço ou nascente para todos os outros tipos e população total, além disso, e qual o tipo que predomina nas áreas urbanas?",1250.913671875,19.80982986628434,"[1292.031982421875, 1254.2421875, 1254.886474609375, 1244.239990234375, 1213.0703125, 1247.67822265625, 1256.21337890625, 1262.34814453125, 1227.906494140625, 1256.51953125]",1213.0703125,1292.031982421875,cca,cca34
Lista dos 30 município com o maior número de pessoas que nunca estudaram e têm 18 anos ou mais ordenados por quantidade:,141.6216064453125,5.204385900734547,"[135.587158203125, 138.608642578125, 142.33251953125, 145.581787109375, 135.186767578125, 151.42822265625, 146.310791015625, 135.589111328125, 145.082763671875, 140.50830078125]",135.186767578125,151.42822265625,cca,cca35
1 - Liste os nomes dos municípios onde a maioria dos residentes é do sexo feminino.,207.0512451171875,11.08713138350866,"[206.52197265625, 200.529541015625, 202.12060546875, 221.046875, 199.127685546875, 202.105712890625, 211.75634765625, 195.56103515625, 232.7421875, 199.00048828125]",195.56103515625,232.7421875,cca,cca36
RETORNA SEPARADAMENTE HOMENS E MULHERES QUE A FAMILIA TEM UMA REDA MÉDIA ACIMA DE 500 REAIS,441.353466796875,11.116806732970108,"[445.6572265625, 433.62841796875, 433.716796875, 434.513427734375, 443.748046875, 451.33984375, 429.0068359375, 429.8125, 445.3525390625, 466.759033203125]",429.0068359375,466.759033203125,cca,cca37
"Em quais estados os principais ganhos de renda dos membros vêm de doações e excedem R$ 20.000, e qual é o total de renda de doação nesses estados?",90.5732177734375,3.731616027249416,"[91.903564453125, 94.243408203125, 91.182861328125, 92.012939453125, 88.0869140625, 85.702392578125, 86.76318359375, 87.407470703125, 98.72021484375, 89.709228515625]",85.702392578125,98.72021484375,cca,cca38
Faixa etária com mais pessoas em cada município.,607.029345703125,15.74707270651629,"[597.684326171875, 620.078369140625, 604.6435546875, 600.757568359375, 599.669921875, 618.848388671875, 598.31103515625, 612.534912109375, 578.3046875, 639.460693359375]",578.3046875,639.460693359375,cca,cca39
"Qual a Renda média familiar, salário, idade e escolaridade das pessoas que são maiores do que 25 anos e ainda frequentam a escola ou nunca frequentaram?",336.59345703125,6.784876479385808,"[329.542236328125, 338.858154296875, 346.10693359375, 338.8955078125, 344.52734375, 340.510986328125, 337.1328125, 337.9326171875, 323.582763671875, 328.84521484375]",323.582763671875,346.10693359375,cca,cca40
Qual a média de pessoas que possuem coleta de lixo por região?,118.6923095703125,7.612373510141364,"[114.240478515625, 125.1220703125, 112.0244140625, 109.605712890625, 112.320556640625, 112.228759765625, 130.74658203125, 131.40234375, 119.19140625, 120.040771484375]",109.605712890625,131.40234375,cca,cca41
Qual a média de renda das pessoas da familia por genero em cada estado?,263.460888671875,19.505329435664372,"[252.88525390625, 246.080322265625, 249.578125, 246.44189453125, 252.572998046875, 273.30322265625, 259.91748046875, 308.20458984375, 256.947509765625, 288.677490234375]",246.080322265625,308.20458984375,cca,cca42
# Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram? (ordenado por qauntidade de pessoas sem trabalho remunerado),148.5792236328125,4.170811857353366,"[152.72705078125, 149.00537109375, 151.7041015625, 144.609130859375, 148.827392578125, 139.509521484375, 153.122802734375, 144.69970703125, 152.062744140625, 149.5244140625]",139.509521484375,153.122802734375,cca,cca43
Quais são os três municípios com o maior número de pessoas trabalhando e a média de renda das famílias nesses municípios?,2851.5774658203127,202.931195086141,"[2743.07177734375, 3323.483642578125, 2750.720703125, 2741.997314453125, 2850.29541015625, 3153.894775390625, 2792.810791015625, 2793.85595703125, 2679.470458984375, 2686.173828125]",2679.470458984375,3323.483642578125,cca,cca44
"Pergunta 2: Qual é a renda média por família, considerando apenas as famílias com mais de 2 pessoas?",89.8312255859375,1.8824219961140614,"[88.2802734375, 86.980224609375, 92.314208984375, 88.2021484375, 92.95947265625, 91.67138671875, 89.447509765625, 88.27734375, 90.41748046875, 89.76220703125]",86.980224609375,92.95947265625,cca,cca45
