query,execution_time,query_type,query_description
ccb1,177.981689453125,ccb,QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.
ccb2,52.091064453125,ccb,Quantidade de domicilios sem banheiro
ccb3,30.638427734375,ccb,Quantidade de familias que nao possuem domicilio particular regular
ccb4,26.73974609375,ccb,Quais dados do domicílio das famílias que possuem apenas um cômodo?
ccb5,136.263916015625,ccb,FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES
ccb6,3.27685546875,ccb,Quais municipios possuem uma população com número inferior à 1000 pessoas?
ccb7,36.388427734375,ccb,Média de Idade das Pessoas nas Famílias da base de dados?
ccb8,29.11865234375,ccb,Qual a Idade média da população entrevistada?
ccb9,15.67431640625,ccb,Qual a Quantidade média de cômodos dos domicílios?
ccb10,19.760009765625,ccb,Qual a média de cômodos por domicilio
ccb11,1255.332275390625,ccb,Quantidade de pessoas por sexo na base de dados?
ccb12,120.664794921875,ccb,Valor total da média familiar e total de pessoas por municipio
ccb13,72.88525390625,ccb,Quantidade de pessoas agrupadas por nível de escolaridade
ccb14,24.1171875,ccb,Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?
ccb15,76.39404296875,ccb,Agrupe a quantidade de pessoas pelas diferentes cores de pele.
cci1,73.255615234375,cci,Quantos idosos existem em cada família no estado da Bahia?
cci2,938.018798828125,cci,Qtd de pessoas por Município e cor/raça
cci3,91.592041015625,cci,Qual é a média de pessoas por família em cada município?
cci4,1141.1025390625,cci,"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:"
cci5,464.446044921875,cci,"Quantidade de pessoas por idade, sexo e função que recebem remunerção equivalente a salário mínimo ou inferior"
cci6,513.25146484375,cci,Em que municípios moram as 5 pessoas mais velhas entrevistadas?
cci7,115.341552734375,cci,"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:"
cci8,109.22900390625,cci,Quantas mulheres concluíram o ensino fundamental?
cci9,808.822509765625,cci,"Quantas famílias existem em cada município, agrupadas por água canalizada ?"
cci10,85.044677734375,cci,Qual a media de pessoas por familia por municipio?
cci11,373.34765625,cci,Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram?
cci12,79.12890625,cci,Quais são os cinco municípios com a maior população e quantas famílias vivem em cada um?
cci13,60.02880859375,cci,Quantas famílias com mais de 3 pessoas têm acesso a água canalizada em seus domicílios?
cci14,144.70751953125,cci,Quantas pessoas do sexo feminino moram em casas com água canalizada?
cci15,100.27783203125,cci,"Qual a quantidade de pessoas do sexo masculino e feminino, respectivamente, em Salvador?"
cca1,434.965576171875,cca,Quais são as três famílias com a maior renda média em cada município?
cca2,211.848388671875,cca,Pergunta 1: Quais são os municípios na Região Nordeste com a menor média de idade entre as pessoas?
cca3,253.298828125,cca,Liste os nomes dos 10 municípios pela maior remuneração de trabalho para pessoas entre 25 e 35 anos.
cca4,2753.7568359375,cca,"Qual a proporção de pessoas que utilizam abastecimento de água por poço ou nascente para todos os outros tipos e população total, além disso, e qual o tipo que predomina nas áreas urbanas?"
cca5,194.7236328125,cca,Lista dos 30 município com o maior número de pessoas que nunca estudaram e têm 18 anos ou mais ordenados por quantidade:
cca6,406.47900390625,cca,1 - Liste os nomes dos municípios onde a maioria dos residentes é do sexo feminino.
cca7,506.709716796875,cca,RETORNA SEPARADAMENTE HOMENS E MULHERES QUE A FAMILIA TEM UMA REDA MÉDIA ACIMA DE 500 REAIS
cca8,89.046142578125,cca,"Em quais estados os principais ganhos de renda dos membros vêm de doações e excedem R$ 20.000, e qual é o total de renda de doação nesses estados?"
cca9,1147.6181640625,cca,Faixa etária com mais pessoas em cada município.
cca10,559.02392578125,cca,"Qual a Renda média familiar, salário, idade e escolaridade das pessoas que são maiores do que 25 anos e ainda frequentam a escola ou nunca frequentaram?"
cca11,151.7353515625,cca,Qual a média de pessoas que possuem coleta de lixo por região?
cca12,476.517578125,cca,Qual a média de renda das pessoas da familia por genero em cada estado?
cca13,269.96240234375,cca,# Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram? (ordenado por qauntidade de pessoas sem trabalho remunerado)
cca14,1950.228515625,cca,Quais são os três municípios com o maior número de pessoas trabalhando e a média de renda das famílias nesses municípios?
cca15,96.642822265625,cca,"Pergunta 2: Qual é a renda média por família, considerando apenas as famílias com mais de 2 pessoas?"
