description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,105.76728515625,36.65074467546482,"[213.19287109375, 99.42333984375, 87.3984375, 88.236572265625, 86.074462890625, 89.801513671875, 92.57373046875, 111.842041015625, 101.736328125, 87.3935546875]",86.074462890625,213.19287109375,ccb,ccb01
Quantidade de domicilios sem banheiro,43.8249267578125,1.0906143660696415,"[45.307373046875, 44.179931640625, 45.047607421875, 42.91552734375, 43.251953125, 41.983154296875, 42.595947265625, 45.046630859375, 43.46630859375, 44.454833984375]",41.983154296875,45.307373046875,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,29.1780517578125,0.9619979344705666,"[30.279296875, 30.014404296875, 30.9072265625, 29.465087890625, 29.251708984375, 28.091552734375, 28.96923828125, 28.8642578125, 27.875244140625, 28.0625]",27.875244140625,30.9072265625,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,8.9426513671875,0.5087262949236118,"[10.37353515625, 9.106201171875, 8.695556640625, 8.733154296875, 9.021240234375, 8.468505859375, 8.71923828125, 8.80029296875, 8.89013671875, 8.61865234375]",8.468505859375,10.37353515625,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,83.5213134765625,2.15476894390716,"[88.109619140625, 83.670166015625, 82.599853515625, 81.777587890625, 85.67919921875, 82.22509765625, 85.764892578125, 82.387939453125, 82.062744140625, 80.93603515625]",80.93603515625,88.109619140625,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.82353515625,0.49500936865369694,"[2.259765625, 0.736328125, 0.737548828125, 0.697021484375, 0.965576171875, 0.608642578125, 0.629150390625, 0.532470703125, 0.551025390625, 0.517822265625]",0.517822265625,2.259765625,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,21.8790283203125,1.7725307995187707,"[24.12744140625, 20.702392578125, 21.36962890625, 20.8271484375, 21.204345703125, 21.083984375, 20.897216796875, 21.317626953125, 20.88134765625, 26.379150390625]",20.702392578125,26.379150390625,ccb,ccb07
Qual a Idade média da população entrevistada?,23.228466796875,2.5441535493700185,"[30.17626953125, 24.68701171875, 22.7783203125, 21.604736328125, 21.989013671875, 21.914306640625, 22.68701171875, 21.50830078125, 23.852294921875, 21.08740234375]",21.08740234375,30.17626953125,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,8.4212890625,1.1751353936613724,"[11.54638671875, 7.363525390625, 7.7939453125, 8.08056640625, 9.49169921875, 8.05078125, 8.388427734375, 7.760498046875, 8.072021484375, 7.6650390625]",7.363525390625,11.54638671875,ccb,ccb09
Qual a média de cômodos por domicilio,8.68544921875,0.46515980978959653,"[8.9111328125, 8.70068359375, 9.166015625, 8.385498046875, 8.52734375, 7.54248046875, 9.239990234375, 8.717529296875, 9.065185546875, 8.5986328125]",7.54248046875,9.239990234375,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1255.5999755859375,21.379903278977892,"[1253.75634765625, 1247.07470703125, 1248.5126953125, 1263.216552734375, 1296.709716796875, 1221.676025390625, 1272.484130859375, 1265.379150390625, 1264.534423828125, 1222.656005859375]",1221.676025390625,1296.709716796875,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,62.987890625,5.1371179440948795,"[59.580322265625, 57.518310546875, 57.63671875, 57.068603515625, 71.0263671875, 66.80859375, 61.406982421875, 60.8525390625, 69.419677734375, 68.560791015625]",57.068603515625,71.0263671875,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,44.765478515625,3.0267656233514995,"[44.05126953125, 47.896484375, 41.50048828125, 49.3876953125, 42.356201171875, 41.46630859375, 42.94970703125, 49.423583984375, 46.2060546875, 42.4169921875]",41.46630859375,49.423583984375,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,12.5241943359375,0.30465955263735167,"[12.796630859375, 11.828125, 12.546142578125, 12.444580078125, 12.533447265625, 12.278076171875, 12.419677734375, 12.682373046875, 13.0068359375, 12.7060546875]",11.828125,13.0068359375,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,27.2797119140625,1.1727392293097574,"[27.195068359375, 27.40966796875, 29.6494140625, 26.513671875, 27.65625, 28.33203125, 25.701171875, 28.093505859375, 25.649658203125, 26.5966796875]",25.649658203125,29.6494140625,ccb,ccb15
